symbol,increasing_current_ratio,green_flag_positive_retained_earnings,increasing_working_capital,red_flag_high_accounts_receivable,increasing_debt_to_equity,decreasing_total_assets,red_flag_count,green_flag_count,bs_final_count
A,"Increasing Current Ratio","Positive Retained Earnings","Increasing Working Capital",NULL,NULL,NULL,0,3,3
AAPL,"Increasing Current Ratio",NULL,"Increasing Working Capital",NULL,NULL,"Decreasing Total Assets",1,2,1
ABBV,NULL,NULL,NULL,NULL,"Increasing Debt to Equity Ratio","Decreasing Total Assets",2,0,-2
ABNB,NULL,NULL,NULL,"High Accounts Receivable",NULL,NULL,1,0,-1
ABT,"Increasing Current Ratio","Positive Retained Earnings",NULL,NULL,NULL,"Decreasing Total Assets",1,2,1
ACGL,"Increasing Current Ratio","Positive Retained Earnings",NULL,"High Accounts Receivable",NULL,NULL,1,2,1
ACN,"Increasing Current Ratio","Positive Retained Earnings","Increasing Working Capital","High Accounts Receivable",NULL,NULL,1,3,2
ADBE,"Increasing Current Ratio","Positive Retained Earnings","Increasing Working Capital",NULL,NULL,NULL,0,3,3
ADI,NULL,"Positive Retained Earnings",NULL,NULL,"Increasing Debt to Equity Ratio","Decreasing Total Assets",2,1,-1
ADM,"Increasing Current Ratio","Positive Retained Earnings",NULL,NULL,NULL,"Decreasing Total Assets",1,2,1
ADP,"Increasing Current Ratio","Positive Retained Earnings","Increasing Working Capital",NULL,NULL,NULL,0,3,3
ADSK,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0
AEE,NULL,"Positive Retained Earnings",NULL,NULL,"Increasing Debt to Equity Ratio",NULL,1,1,0
AEP,NULL,"Positive Retained Earnings",NULL,NULL,"Increasing Debt to Equity Ratio",NULL,1,1,0
AES,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0
AFL,NULL,"Positive Retained Earnings",NULL,NULL,NULL,"Decreasing Total Assets",1,1,0
AIG,"Increasing Current Ratio","Positive Retained Earnings","Increasing Working Capital",NULL,NULL,NULL,0,3,3
AIZ,"Increasing Current Ratio","Positive Retained Earnings","Increasing Working Capital","High Accounts Receivable",NULL,NULL,1,3,2
AJG,NULL,"Positive Retained Earnings","Increasing Working Capital",NULL,"Increasing Debt to Equity Ratio",NULL,1,2,1
AKAM,NULL,"Positive Retained Earnings",NULL,NULL,"Increasing Debt to Equity Ratio",NULL,1,1,0
ALB,NULL,"Positive Retained Earnings",NULL,NULL,"Increasing Debt to Equity Ratio",NULL,1,1,0
ALGN,NULL,"Positive Retained Earnings",NULL,NULL,NULL,NULL,0,1,1
ALL,NULL,"Positive Retained Earnings",NULL,NULL,NULL,NULL,0,1,1
ALLE,NULL,"Positive Retained Earnings",NULL,NULL,NULL,NULL,0,1,1
AMAT,"Increasing Current Ratio","Positive Retained Earnings","Increasing Working Capital",NULL,NULL,NULL,0,3,3
AMCR,"Increasing Current Ratio","Positive Retained Earnings","Increasing Working Capital",NULL,"Increasing Debt to Equity Ratio","Decreasing Total Assets",2,3,1
AMD,"Increasing Current Ratio","Positive Retained Earnings","Increasing Working Capital",NULL,NULL,NULL,0,3,3
AME,NULL,"Positive Retained Earnings",NULL,NULL,"Increasing Debt to Equity Ratio",NULL,1,1,0
AMGN,"Increasing Current Ratio",NULL,"Increasing Working Capital",NULL,NULL,NULL,0,2,2
AMP,NULL,"Positive Retained Earnings",NULL,NULL,NULL,NULL,0,1,1
AMT,"Increasing Current Ratio",NULL,"Increasing Working Capital",NULL,"Increasing Debt to Equity Ratio","Decreasing Total Assets",2,2,0
AMZN,"Increasing Current Ratio","Positive Retained Earnings","Increasing Working Capital",NULL,NULL,NULL,0,3,3
ANET,"Increasing Current Ratio","Positive Retained Earnings","Increasing Working Capital",NULL,"Increasing Debt to Equity Ratio",NULL,1,3,2
ANSS,NULL,"Positive Retained Earnings","Increasing Working Capital",NULL,"Increasing Debt to Equity Ratio",NULL,1,2,1
AON,NULL,NULL,NULL,NULL,"Increasing Debt to Equity Ratio",NULL,1,0,-1
AOS,NULL,"Positive Retained Earnings",NULL,NULL,NULL,"Decreasing Total Assets",1,1,0
APA,"Increasing Current Ratio",NULL,"Increasing Working Capital",NULL,NULL,NULL,0,2,2
APD,NULL,"Positive Retained Earnings",NULL,NULL,"Increasing Debt to Equity Ratio",NULL,1,1,0
APH,NULL,"Positive Retained Earnings",NULL,NULL,NULL,NULL,0,1,1
APTV,"Increasing Current Ratio","Positive Retained Earnings","Increasing Working Capital",NULL,NULL,NULL,0,3,3
ARE,"Increasing Current Ratio","Positive Retained Earnings","Increasing Working Capital",NULL,"Increasing Debt to Equity Ratio",NULL,1,3,2
ATO,NULL,"Positive Retained Earnings","Increasing Working Capital",NULL,NULL,NULL,0,2,2
AVB,NULL,"Positive Retained Earnings",NULL,NULL,NULL,NULL,0,1,1
AVGO,"Increasing Current Ratio","Positive Retained Earnings","Increasing Working Capital",NULL,NULL,"Decreasing Total Assets",1,3,2
AVY,"Increasing Current Ratio","Positive Retained Earnings","Increasing Working Capital",NULL,NULL,NULL,0,3,3
AWK,"Increasing Current Ratio","Positive Retained Earnings","Increasing Working Capital",NULL,NULL,NULL,0,3,3
AXON,"Increasing Current Ratio","Positive Retained Earnings","Increasing Working Capital","High Accounts Receivable",NULL,NULL,1,3,2
AXP,NULL,"Positive Retained Earnings",NULL,"High Accounts Receivable","Increasing Debt to Equity Ratio",NULL,2,1,-1
AZO,"Increasing Current Ratio",NULL,"Increasing Working Capital",NULL,"Increasing Debt to Equity Ratio",NULL,1,2,1
BA,NULL,"Positive Retained Earnings",NULL,NULL,"Increasing Debt to Equity Ratio","Decreasing Total Assets",2,1,-1
BAC,NULL,"Positive Retained Earnings",NULL,NULL,"Increasing Debt to Equity Ratio",NULL,1,1,0
BALL,"Increasing Current Ratio","Positive Retained Earnings","Increasing Working Capital",NULL,NULL,"Decreasing Total Assets",1,3,2
BAX,NULL,"Positive Retained Earnings",NULL,NULL,NULL,"Decreasing Total Assets",1,1,0
BBWI,NULL,NULL,NULL,NULL,NULL,"Decreasing Total Assets",1,0,-1
BBY,"Increasing Current Ratio","Positive Retained Earnings","Increasing Working Capital",NULL,NULL,"Decreasing Total Assets",1,3,2
BDX,"Increasing Current Ratio","Positive Retained Earnings","Increasing Working Capital",NULL,NULL,"Decreasing Total Assets",1,3,2
BEN,"Increasing Current Ratio","Positive Retained Earnings",NULL,NULL,"Increasing Debt to Equity Ratio",NULL,1,2,1
BG,"Increasing Current Ratio","Positive Retained Earnings","Increasing Working Capital",NULL,NULL,NULL,0,3,3
BIIB,NULL,"Positive Retained Earnings",NULL,NULL,"Increasing Debt to Equity Ratio",NULL,1,1,0
BK,NULL,"Positive Retained Earnings",NULL,NULL,"Increasing Debt to Equity Ratio",NULL,1,1,0
BKNG,NULL,"Positive Retained Earnings",NULL,NULL,NULL,"Decreasing Total Assets",1,1,0
BKR,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0
BLDR,NULL,"Positive Retained Earnings",NULL,NULL,"Increasing Debt to Equity Ratio",NULL,1,1,0
BLK,"Increasing Current Ratio","Positive Retained Earnings","Increasing Working Capital",NULL,"Increasing Debt to Equity Ratio",NULL,1,3,2
BMY,"Increasing Current Ratio","Positive Retained Earnings","Increasing Working Capital",NULL,"Increasing Debt to Equity Ratio","Decreasing Total Assets",2,3,1
BR,"Increasing Current Ratio","Positive Retained Earnings","Increasing Working Capital",NULL,"Increasing Debt to Equity Ratio",NULL,1,3,2
BRK-B,"Increasing Current Ratio","Positive Retained Earnings","Increasing Working Capital",NULL,NULL,NULL,0,3,3
BRO,NULL,"Positive Retained Earnings",NULL,NULL,NULL,NULL,0,1,1
BSX,NULL,"Positive Retained Earnings",NULL,NULL,NULL,NULL,0,1,1
BWA,"Increasing Current Ratio","Positive Retained Earnings","Increasing Working Capital","High Accounts Receivable","Increasing Debt to Equity Ratio","Decreasing Total Assets",3,3,0
BX,NULL,"Positive Retained Earnings",NULL,NULL,NULL,"Decreasing Total Assets",1,1,0
