symbol,quick_ratio,debt_to_equity,working_capital_ratio,price_to_earnings_ratio,earnings_per_share,return_on_equity,profit_margin
A,1.9682,0.8414,2.6114,33.1967,4.2200,0.2121,0.1815
AAPL,0.9444,4.6735,0.9880,37.0455,6.1600,1.5608,0.2531
ABBV,0.7638,11.9567,0.8721,70.8681,2.7300,0.4677,0.0895
ABNB,1.6592,1.5285,1.6592,17.4441,7.5200,0.5869,0.4832
ABT,1.1632,0.8856,1.6379,34.4545,3.3000,0.1474,0.1427
ACGL,0.9207,1.7062,0.5401,9.4841,11.9400,0.2421,0.3327
ACN,1.2983,0.9368,1.2983,30.8459,10.9000,0.2597,0.1072
ADBE,1.3434,0.8028,1.3434,43.7804,11.9300,0.3286,0.2797
ADI,0.8566,0.3720,1.3696,34.3606,6.6000,0.0932,0.2694
ADM,0.9543,1.2330,1.5951,9.5280,6.4400,0.1424,0.0371
ADP,1.0103,10.9542,1.0103,30.2418,9.1400,0.8251,0.1954
ADSK,0.8226,4.3434,0.8226,63.1891,4.2300,0.4884,0.1665
AEE,0.4329,2.5572,0.6520,19.5479,4.3800,0.1004,0.1536
AEP,0.3628,2.8236,0.5251,23.9789,4.2600,0.0873,0.1163
AES,0.6101,5.0141,0.6833,52.5000,0.3600,0.0334,0.0197
AFL,38.8095,4.9531,3.3145,13.8182,7.8100,0.2119,0.2491
AIG,15.2585,9.5126,3.5819,14.6932,5.0200,0.0710,0.0771
AIZ,7.0494,5.9935,4.4662,16.1622,12.0200,0.1336,0.0577
AJG,0.1622,3.7725,1.0338,61.2106,4.5100,0.0896,0.0963
AKAM,2.1588,1.1535,2.1588,27.7201,3.5900,0.1191,0.1437
ALB,0.8582,0.8904,1.4652,6.4154,13.4100,0.1628,0.1636
ALGN,1.0402,0.6758,1.1839,43.4450,5.8200,0.1226,0.1152
ALL,0.9793,0.4505,0.2561,-265.2778,-0.7200,-0.0107,-0.0033
ALLE,0.8543,2.2705,1.2604,22.8293,6.1500,0.4099,0.1480
AMAT,1.8207,0.8796,2.5973,23.5490,8.1600,0.4194,0.2586
AMCR,0.6886,3.1801,1.1652,21.3725,0.5100,0.1847,0.0535
