Symbol,Weight
AAPL,6.85%
MSFT,6.77%
NVDA,6.02%
AMZN,3.61%
META,2.55%
GOOGL,1.98%
BRK.B,1.73%
GOOG,1.66%
LLY,1.52%
AVGO,1.52%
TSLA,1.41%
JPM,1.26%
UNH,1.10%
XOM,1.08%
V,0.93%
PG,0.84%
MA,0.84%
COST,0.83%
JNJ,0.82%
HD,0.80%
ABBV,0.71%
WMT,0.69%
NFLX,0.63%
MRK,0.62%
BAC,0.58%
KO,0.57%
ORCL,0.56%
CRM,0.54%
AMD,0.53%
CVX,0.52%
PEP,0.50%
TMO,0.49%
ADBE,0.49%
LIN,0.47%
MCD,0.44%
ACN,0.44%
CSCO,0.43%
GE,0.42%
ABT,0.41%
IBM,0.41%
WFC,0.40%
QCOM,0.40%
NOW,0.39%
TXN,0.39%
PM,0.39%
VZ,0.38%
INTU,0.38%
CAT,0.38%
DHR,0.38%
AMGN,0.37%
ISRG,0.36%
DIS,0.35%
NEE,0.35%
SPGI,0.35%
PFE,0.35%
AMAT,0.34%
GS,0.34%
RTX,0.33%
CMCSA,0.33%
UBER,0.33%
T,0.32%
AXP,0.32%
UNP,0.31%
PGR,0.31%
LOW,0.31%
BKNG,0.28%
TJX,0.28%
HON,0.28%
ETN,0.27%
BLK,0.27%
COP,0.27%
MS,0.26%
ELV,0.26%
SYK,0.26%
VRTX,0.26%
BSX,0.25%
REGN,0.25%
LMT,0.25%
C,0.25%
MDT,0.25%
PLD,0.25%
CB,0.24%
ADI,0.24%
BX,0.24%
ADP,0.24%
MMC,0.23%
SBUX,0.23%
AMT,0.23%
PANW,0.22%
DE,0.22%
FI,0.22%
GILD,0.22%
KLAC,0.22%
TMUS,0.21%
LRCX,0.21%
CI,0.21%
MDLZ,0.21%
BMY,0.21%
MU,0.20%
NKE,0.20%
SO,0.20%
SCHW,0.20%
UPS,0.20%
ANET,0.20%
ICE,0.19%
INTC,0.19%
DUK,0.18%
BA,0.18%
SHW,0.18%
KKR,0.18%
ZTS,0.18%
TT,0.18%
MO,0.18%
CL,0.17%
EQIX,0.17%
PYPL,0.17%
PH,0.17%
CMG,0.17%
SNPS,0.16%
HCA,0.16%
APH,0.16%
CME,0.16%
MCO,0.16%
TDG,0.16%
CDNS,0.16%
AON,0.16%
WM,0.16%
WELL,0.16%
PNC,0.16%
MMM,0.15%
CVS,0.15%
MSI,0.15%
NOC,0.15%
USB,0.15%
TGT,0.15%
EOG,0.15%
CTAS,0.15%
ITW,0.15%
GD,0.14%
CSX,0.14%
FDX,0.14%
BDX,0.14%
CARR,0.14%
GEV,0.14%
MCK,0.14%
ORLY,0.14%
CEG,0.14%
FCX,0.13%
APD,0.13%
CRWD,0.13%
ECL,0.13%
NEM,0.13%
NXPI,0.13%
SLB,0.13%
AJG,0.13%
EMR,0.13%
ROP,0.12%
DHI,0.12%
MAR,0.12%
MPC,0.12%
COF,0.12%
ADSK,0.12%
TFC,0.12%
NSC,0.12%
ABNB,0.12%
PSA,0.12%
PSX,0.12%
AFL,0.12%
HLT,0.12%
GM,0.12%
OKE,0.11%
WMB,0.11%
SPG,0.11%
TRV,0.11%
BK,0.11%
AEP,0.11%
URI,0.11%
O,0.11%
AZO,0.11%
ROST,0.11%
PCAR,0.11%
SRE,0.11%
DLR,0.11%
CCI,0.10%
ALL,0.10%
JCI,0.10%
AIG,0.10%
MET,0.10%
FTNT,0.10%
D,0.10%
FICO,0.10%
LEN,0.10%
KMB,0.10%
FIS,0.10%
AMP,0.10%
TEL,0.10%
GWW,0.09%
VLO,0.09%
CPRT,0.09%
IQV,0.09%
PRU,0.09%
MSCI,0.09%
KVUE,0.09%
LHX,0.09%
MPWR,0.09%
IDXX,0.09%
PAYX,0.09%
MCHP,0.09%
F,0.09%
GIS,0.09%
PWR,0.09%
CMI,0.09%
PCG,0.09%
KMI,0.09%
PEG,0.09%
A,0.09%
ACGL,0.09%
CTVA,0.09%
RSG,0.09%
FAST,0.08%
EW,0.08%
RCL,0.08%
CNC,0.08%
